title,artist,top genre,year released,added,dnce,val,dur,pop,artist type
Stressed Out,Twenty One Pilots,modern rock,2015,2020‑06‑19,73,65,202,88,Duo
I Don't Mind (feat. Juicy J),Usher,atl hip hop,2014,2020‑06‑19,87,46,252,73,Solo
Shut Up and Dance,WALK THE MOON,dance pop,2014,2020‑06‑19,58,62,199,86,Band/Group
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,2015,2020‑06‑19,69,28,230,85,Solo
Renegades,X Ambassadors,modern alternative rock,2015,2020‑06‑19,53,53,195,80,Band/Group
Unsteady,X Ambassadors,modern alternative rock,2015,2020‑06‑19,39,20,194,78,Band/Group
King,Years & Years,dance pop,2015,2020‑06‑19,56,43,215,66,Band/Group
I Want You To Know,Zedd,complextro,2015,2020‑06‑19,58,37,240,70,Solo
When We Were Young,Adele,british soul,2015,2020‑06‑08,38,27,291,79,Solo
Send My Love (To Your New Lover),Adele,british soul,2015,2020‑06‑08,69,57,223,77,Solo
Hello,Adele,british soul,2015,2020‑06‑08,58,29,296,77,Solo
Here,Alessia Cara,canadian contemporary r&b,2015,2020‑06‑08,38,33,199,71,Solo
Alarm,Anne-Marie,dance pop,2016,2020‑06‑08,76,81,206,62,Solo
Into You,Ariana Grande,dance pop,2016,2020‑06‑08,62,37,244,73,Solo
Side To Side,Ariana Grande,dance pop,2016,2020‑06‑08,65,61,226,72,Solo
Dangerous Woman,Ariana Grande,dance pop,2016,2020‑06‑08,66,29,236,72,Solo
Hurts So Good,Astrid S,alt z,2021,2020‑06‑08,67,42,209,77,Solo
Good Grief,Bastille,metropopolis,2016,2021‑08‑09,73,88,206,70,Band/Group
Sorry,Beyoncé,dance pop,2016,2020‑08‑11,78,36,233,72,Solo
Don't,Bryson Tiller,kentucky hip hop,2015,2020‑08‑11,77,19,198,83,Solo
Exchange,Bryson Tiller,kentucky hip hop,2015,2020‑06‑08,53,28,195,81,Solo
Dancing On My Own,Calum Scott,neo mellow,2018,2020‑06‑08,68,23,260,84,Solo
This Is What You Came For (feat. Rihanna),Calvin Harris,dance pop,2016,2020‑06‑08,63,47,222,84,Solo
My Way,Calvin Harris,dance pop,2016,2020‑06‑08,82,54,219,78,Solo
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,2020‑06‑08,73,35,218,73,Solo
One Call Away,Charlie Puth,dance pop,2016,2020‑06‑08,67,47,194,70,Solo
Dangerously,Charlie Puth,dance pop,2016,2021‑08‑17,70,23,199,58,Solo
Sex,Cheat Codes,dance pop,2016,2020‑06‑08,51,21,228,66,Trio
Back To Sleep,Chris Brown,dance pop,2015,2020‑06‑08,65,72,201,65,Solo
Tears (feat. Louisa Johnson),Clean Bandit,dance pop,2016,2020‑06‑08,61,30,226,65,Band/Group
Hymn for the Weekend,Coldplay,permanent wave,2015,2020‑06‑08,49,41,258,86,Band/Group
Adventure of a Lifetime,Coldplay,permanent wave,2015,2020‑06‑08,64,53,264,79,Band/Group
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,big room,2016,2020‑06‑08,37,37,207,72,Solo
"Sit Still, Look Pretty",Daya,alt z,2016,2020‑06‑08,66,54,202,76,Solo
Hide Away,Daya,alt z,2016,2020‑06‑08,89,46,192,72,Solo
Let Me Love You,DJ Snake,dance pop,2016,2020‑06‑08,65,16,206,86,Solo
Middle,DJ Snake,dance pop,2016,2020‑06‑25,58,22,221,79,Solo
Cake By The Ocean,DNCE,dance pop,2016,2020‑06‑08,77,90,219,84,Band/Group
Too Good,Drake,canadian hip hop,2016,2020‑06‑08,79,40,263,78,Solo
Hotter Than Hell,Dua Lipa,dance pop,2017,2020‑06‑08,53,53,188,70,Solo
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,dance pop,2016,2020‑06‑08,72,87,200,72,Solo
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,2020‑06‑08,80,59,214,81,Band/Group
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,dance pop,2016,2020‑06‑08,69,76,211,67,Band/Group
My House,Flo Rida,dance pop,2015,2020‑06‑08,69,74,192,81,Solo
Say It (feat. Tove Lo),Flume,australian dance,2016,2020‑06‑29,60,26,263,64,Solo
Pink + White,Frank Ocean,alternative r&b,2016,2020‑06‑08,54,55,185,84,Solo
Low Life (feat. The Weeknd),Future,atl hip hop,2016,2020‑06‑08,72,10,314,78,Solo
No Money,Galantis,dance pop,2016,2020‑06‑08,67,80,189,72,Duo
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,electropop,2016,2020‑06‑08,49,18,251,82,Solo
"Me, Myself & I",G-Eazy,indie pop rap,2015,2020‑06‑08,76,39,251,82,Solo
Starving,Hailee Steinfeld,dance pop,2016,2020‑06‑08,73,51,182,81,Solo
Can I Be Him,James Arthur,pop,2016,2020‑06‑08,70,48,247,80,Solo
When You Love Someone,James TW,neo mellow,2019,2020‑06‑08,68,35,217,79,Solo
Love Me Now,John Legend,neo soul,2016,2020‑06‑08,42,72,210,59,Solo
Perfect Strangers,Jonas Blue,dance pop,2018,2020‑06‑08,73,70,197,80,Solo
Fast Car,Jonas Blue,dance pop,2018,2020‑06‑08,67,55,212,77,Solo
Love Yourself,Justin Bieber,canadian pop,2015,2020‑06‑08,61,52,234,87,Solo
Sorry,Justin Bieber,canadian pop,2015,2020‑06‑08,65,41,201,85,Solo
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,2020‑06‑08,67,70,238,77,Solo
Gold,Kiiara,alt z,2020,2020‑06‑08,60,41,226,64,Solo
Stole the Show,Kygo,edm,2016,2020‑06‑08,64,48,223,78,Solo
Stay (feat. Maty Noyes),Kygo,edm,2015,2020‑06‑08,65,38,239,65,Solo
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,2020‑06‑08,50,74,243,80,Solo
Shout Out to My Ex,Little Mix,dance pop,2016,2020‑06‑08,77,80,246,81,Band/Group
7 Years,Lukas Graham,danish pop,2016,2020‑06‑08,77,34,237,83,Band/Group
Alaska,Maggie Rogers,indie pop,2019,2021‑08‑09,85,18,188,70,Solo
Cold Water,Major Lazer,dance pop,2016,2020‑06‑08,61,50,185,72,Trio
You & Me,Marc E. Bassy,pop,2017,2020‑06‑08,45,61,218,69,Solo
Alone,Marshmello,brostep,2016,2021‑08‑17,63,42,274,76,Solo
In the Name of Love,Martin Garrix,dance pop,2016,2020‑06‑08,50,17,196,81,Solo
NO,Meghan Trainor,dance pop,2017,2020‑06‑08,56,66,214,75,Solo
The Ocean (feat. Shy Martin),Mike Perry,dance pop,2016,2020‑06‑08,63,19,183,75,Solo
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,2020‑06‑08,66,71,198,81,Solo
Final Song,MØ,art pop,2016,2020‑06‑08,70,25,236,70,Solo
This Town,Niall Horan,dance pop,2016,2020‑06‑08,68,20,233,64,Solo
Close,Nick Jonas,dance pop,2016,2020‑06‑08,65,40,234,74,Solo
History,Olivia Holt,alt z,2016,2020‑06‑08,77,54,204,64,Solo
History,One Direction,boy band,2015,2020‑06‑08,66,80,187,77,Band/Group
Wherever I Go,OneRepublic,dance pop,2016,2021‑11‑25,54,35,170,68,Band/Group
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,2020‑06‑29,63,52,215,73,Solo
Not Nice,PARTYNEXTDOOR,pop,2016,2020‑06‑08,60,73,203,67,Solo
Needed Me,Rihanna,barbadian pop,2016,2020‑06‑08,67,30,192,84,Solo
Work,Rihanna,barbadian pop,2016,2020‑06‑08,73,56,219,80,Solo
Lost Boy,Ruth B.,alt z,2015,2020‑06‑08,71,35,275,77,Solo
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2016,2020‑06‑08,33,26,201,74,Solo
Same Old Love,Selena Gomez,dance pop,2015,2020‑06‑08,67,44,229,70,Solo
Hands To Myself,Selena Gomez,dance pop,2015,2020‑06‑08,81,47,201,68,Solo
Treat You Better,Shawn Mendes,canadian pop,2017,2020‑06‑08,44,75,188,86,Solo
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2015,2020‑06‑08,69,74,224,77,Solo
The Greatest (feat. Kendrick Lamar),Sia,australian dance,2016,2020‑06‑08,67,73,210,73,Solo
Cheap Thrills (feat. Sean Paul),Sia,australian dance,2016,2020‑06‑08,59,73,225,73,Solo
Sweet Lovin' - Radio Edit,Sigala,dance pop,2018,2020‑06‑08,68,71,202,69,Solo
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,edm,2015,2020‑06‑08,68,18,230,77,Duo
Just Hold On,Steve Aoki,dance pop,2018,2020‑06‑08,65,39,199,61,Solo
Somebody Else,The 1975,modern alternative rock,2016,2020‑06‑08,61,47,348,76,Band/Group
The Sound,The 1975,modern alternative rock,2016,2021‑08‑09,65,55,249,63,Band/Group
Closer,The Chainsmokers,dance pop,2016,2020‑06‑08,75,66,245,88,Duo
Don't Let Me Down,The Chainsmokers,dance pop,2016,2020‑06‑08,53,42,208,83,Duo
Roses,The Chainsmokers,dance pop,2015,2020‑06‑08,71,34,227,78,Duo
Ophelia,The Lumineers,folk-pop,2016,2020‑06‑08,66,57,160,79,Band/Group
Starboy,The Weeknd,canadian contemporary r&b,2016,2020‑06‑08,68,49,230,88,Solo
Once In a While,Timeflies,dance pop,2016,2020‑06‑25,79,35,215,65,Duo
Girls Like (feat. Zara Larsson),Tinie Tempah,dance pop,2016,2020‑06‑08,92,54,196,67,Solo
Cool Girl,Tove Lo,art pop,2016,2020‑06‑08,67,20,199,69,Solo
Renegades,X Ambassadors,modern alternative rock,2015,2021‑05‑06,53,53,195,80,Band/Group
Unsteady,X Ambassadors,modern alternative rock,2015,2020‑06‑08,39,20,194,78,Band/Group
Never Forget You,Zara Larsson,dance pop,2017,2020‑06‑08,58,28,213,78,Solo
PILLOWTALK,ZAYN,dance pop,2016,2020‑06‑08,58,44,203,82,Solo
It's A Vibe,2 Chainz,atl hip hop,2017,2021‑01‑28,82,53,210,77,Solo
Bank Account,21 Savage,atl hip hop,2017,2021‑01‑28,88,38,220,82,Solo
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,melodic rap,2017,2021‑01‑28,84,81,209,79,Solo
Plain Jane,A$AP Ferg,gangster rap,2017,2021‑01‑28,80,52,174,79,Solo
Weak,AJR,modern rock,2017,2021‑01‑28,67,70,201,71,Trio
Caroline,Aminé,hip hop,2017,2021‑01‑28,94,71,210,80,Solo
More Than You Know,Axwell /\ Ingrosso,dance pop,2017,2021‑01‑28,65,57,203,83,Duo
Rolex,Ayo & Teo,social media pop,2017,2021‑01‑28,80,79,239,73,Duo
Bounce Back,Big Sean,detroit hip hop,2017,2021‑01‑28,78,27,222,76,Solo
Man's Not Hot,Big Shaq,london rap,2017,2021‑01‑28,91,59,186,67,Solo
Bored,Billie Eilish,art pop,2017,2021‑09‑20,61,11,181,88,Solo
do re mi,blackbear,electropop,2017,2021‑01‑28,75,17,212,77,Solo
That's What I Like,Bruno Mars,dance pop,2016,2021‑01‑28,85,86,207,86,Solo
24K Magic,Bruno Mars,dance pop,2016,2021‑01‑28,82,63,226,82,Solo
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017,2021‑01‑28,89,87,223,81,Solo
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,2021‑01‑28,74,51,231,77,Solo
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,2021‑01‑28,77,39,217,84,Solo
Bodak Yellow,Cardi B,dance pop,2018,2021‑01‑28,93,49,224,77,Solo
No Promises (feat. Demi Lovato),Cheat Codes,dance pop,2017,2021‑01‑28,74,58,223,66,Trio
Redbone,Childish Gambino,atl hip hop,2016,2021‑01‑28,74,58,327,87,Solo
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2016,2021‑01‑28,72,74,251,80,Band/Group
Sorry Not Sorry,Demi Lovato,dance pop,2017,2021‑01‑28,71,89,204,81,Solo
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,2021‑01‑28,60,82,289,70,Solo
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2017,2021‑01‑28,61,62,205,70,Solo
Passionfruit,Drake,canadian hip hop,2017,2021‑01‑28,81,36,299,86,Solo
Fake Love,Drake,canadian hip hop,2017,2021‑01‑28,93,61,211,78,Solo
Perfect,Ed Sheeran,pop,2017,2021‑01‑28,60,17,263,89,Solo
Shape of You,Ed Sheeran,pop,2017,2021‑01‑28,83,93,234,89,Solo
Sit Next to Me,Foster The People,indietronica,2017,2021‑06‑25,64,66,243,75,Band/Group
Unforgettable,French Montana,gangster rap,2017,2021‑01‑28,73,73,234,86,Solo
Mask Off,Future,atl hip hop,2017,2021‑01‑28,83,28,205,84,Solo
Him & I (with Halsey),G-Eazy,indie pop rap,2017,2021‑01‑28,59,19,269,80,Solo
No Limit,G-Eazy,indie pop rap,2017,2021‑01‑28,84,41,245,76,Solo
Most Girls,Hailee Steinfeld,dance pop,2017,2021‑01‑28,76,42,204,77,Solo
Now Or Never,Halsey,dance pop,2017,2021‑01‑28,67,45,215,71,Solo
NUMB,Hayden James,aussietronica,2019,2021‑06‑25,62,40,217,64,Solo
Believer,Imagine Dragons,modern rock,2017,2021‑01‑28,78,67,204,91,Band/Group
Thunder,Imagine Dragons,modern rock,2017,2021‑01‑28,61,29,187,87,Band/Group
Whatever It Takes,Imagine Dragons,modern rock,2017,2021‑01‑28,67,56,201,84,Band/Group
HUMBLE.,Kendrick Lamar,conscious hip hop,2017,2021‑01‑28,91,42,177,87,Solo
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,2021‑01‑28,80,78,213,85,Solo
DNA.,Kendrick Lamar,conscious hip hop,2017,2021‑01‑28,64,42,186,83,Solo
ELEMENT.,Kendrick Lamar,conscious hip hop,2017,2021‑01‑28,75,48,209,76,Solo
Young Dumb & Broke,Khalid,pop,2017,2021‑01‑28,80,39,203,84,Solo
Location,Khalid,pop,2017,2021‑01‑28,74,33,219,83,Solo
Tunnel Vision,Kodak Black,florida rap,2017,2021‑01‑28,50,23,268,78,Solo
iSpy (feat. Lil Yachty),KYLE,pop,2016,2021‑01‑28,75,67,253,76,Solo
Lust For Life (with The Weeknd),Lana Del Rey,art pop,2017,2021‑01‑28,50,26,264,73,Solo
Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,2021‑01‑28,87,55,202,75,Solo
Save That Shit,Lil Peep,emo rap,2017,2021‑01‑28,53,14,232,82,Solo
Gucci Gang,Lil Pump,emo rap,2017,2021‑01‑28,94,70,124,69,Solo
XO Tour Llif3,Lil Uzi Vert,melodic rap,2017,2021‑01‑28,73,40,183,86,Solo
Touch (feat. Kid Ink),Little Mix,dance pop,2016,2021‑01‑28,64,55,203,59,Band/Group
1-800-273-8255,Logic,conscious hip hop,2017,2021‑01‑28,62,36,250,82,Solo
Liability,Lorde,art pop,2017,2021‑06‑25,59,38,172,79,Solo
Green Light,Lorde,art pop,2017,2021‑01‑28,59,25,235,78,Solo
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,art pop,2017,2021‑06‑25,78,18,214,71,Solo
broken,lovelytheband,indie poptimism,2018,2021‑06‑25,67,51,205,76,Band/Group
Despacito,Luis Fonsi,latin,2019,2021‑01‑28,66,84,229,83,Solo
Bad Things (with Camila Cabello),Machine Gun Kelly,ohio hip hop,2017,2021‑01‑28,70,31,239,76,Solo
Glorious (feat. Skylar Grey),Macklemore,pop rap,2017,2021‑01‑28,73,36,220,78,Solo
Cold (feat. Future),Maroon 5,pop,2018,2021‑01‑28,69,41,234,68,Band/Group
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,pop,2018,2021‑01‑28,78,42,214,66,Band/Group
Little Dark Age,MGMT,alternative dance,2018,2022‑03‑08,71,62,300,85,Band/Group
Bad and Boujee (feat. Lil Uzi Vert),Migos,atl hip hop,2017,2021‑01‑28,93,17,343,78,Trio
Slippery (feat. Gucci Mane),Migos,atl hip hop,2017,2021‑01‑28,92,75,304,74,Trio
T-Shirt,Migos,atl hip hop,2017,2021‑01‑28,87,49,242,71,Trio
Sky Walker (feat. Travis Scott),Miguel,dance pop,2017,2021‑01‑28,67,18,259,78,Solo
Malibu,Miley Cyrus,dance pop,2017,2021‑01‑28,57,34,232,77,Solo
Nights With You,MØ,art pop,2017,2021‑06‑25,76,60,197,61,Solo
Slow Hands,Niall Horan,dance pop,2017,2021‑01‑28,74,85,188,79,Solo
Magnolia,Playboi Carti,atl hip hop,2017,2021‑01‑28,79,44,182,82,Solo
Chameleon,PNAU,alternative dance,2017,2021‑01‑28,72,20,198,48,Trio
Feel It Still,Portugal. The Man,indie rock,2017,2021‑01‑28,80,75,163,81,Band/Group
Congratulations,Post Malone,dfw rap,2016,2021‑01‑28,63,49,220,85,Solo
I Fall Apart,Post Malone,dfw rap,2016,2021‑01‑28,56,29,223,83,Solo
Swang,Rae Sremmurd,hip hop,2016,2021‑01‑28,68,17,208,80,Duo
Black Beatles,Rae Sremmurd,hip hop,2016,2021‑01‑28,79,36,292,80,Duo
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,san diego rap,2016,2021‑01‑28,89,23,177,81,Solo
Losin Control,Russ,hawaiian hip hop,2017,2021‑01‑28,76,21,238,79,Solo
Too Good At Goodbyes,Sam Smith,dance pop,2017,2021‑01‑28,68,48,201,77,Solo
No Lie,Sean Paul,dance pop,2018,2021‑01‑28,74,46,221,89,Solo
Fetish (feat. Gucci Mane),Selena Gomez,dance pop,2017,2021‑08‑17,71,27,186,74,Solo
Broccoli,Shelley FKA DRAM,alternative r&b,2016,2021‑01‑28,89,71,225,64,Solo
Don't Leave,Snakehips,edm,2017,2021‑01‑28,66,34,215,68,Duo
Love Galore (feat. Travis Scott),SZA,pop,2017,2021‑01‑28,80,41,275,81,Solo
Look What You Made Me Do,Taylor Swift,pop,2017,2021‑01‑28,77,51,212,81,Solo
...Ready For It?,Taylor Swift,pop,2017,2021‑01‑28,61,42,208,78,Solo
Something Just Like This,The Chainsmokers,dance pop,2017,2021‑01‑28,62,45,247,87,Duo
Paris,The Chainsmokers,dance pop,2017,2021‑01‑28,65,22,222,77,Duo
All Night,The Vamps,boy band,2017,2021‑01‑28,54,51,198,78,Duo
Middle Of The Night,The Vamps,boy band,2017,2021‑01‑28,59,40,175,65,Duo
I Feel It Coming,The Weeknd,canadian contemporary r&b,2016,2021‑01‑28,77,59,269,82,Solo
goosebumps,Travis Scott,hip hop,2016,2021‑01‑28,84,43,244,88,Solo
BUTTERFLY EFFECT,Travis Scott,hip hop,2018,2021‑01‑28,76,19,191,81,Solo
Jocelyn Flores,XXXTENTACION,emo rap,2017,2021‑01‑28,87,44,119,89,Solo
Rake It Up (feat. Nicki Minaj),Yo Gotti,dirty south rap,2017,2021‑01‑28,91,53,276,73,Solo
I Would Like,Zara Larsson,dance pop,2017,2021‑01‑28,49,30,227,62,Solo
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,hip hop,2016,2021‑01‑28,81,78,144,62,Solo
Stay,Zedd,complextro,2017,2021‑01‑28,69,54,210,80,Solo
Youngblood,5 Seconds of Summer,boy band,2018,2020‑06‑22,60,15,203,74,Band/Group
FEFE,6ix9ine,emo rap,2018,2020‑06‑22,93,38,179,75,Solo
GUMMO,6ix9ine,emo rap,2018,2020‑06‑22,66,64,158,67,Solo
God is a woman,Ariana Grande,dance pop,2018,2020‑06‑22,60,27,198,83,Solo
no tears left to cry,Ariana Grande,dance pop,2018,2020‑06‑22,70,35,206,82,Solo
Jumanji,B Young,afroswing,2018,2020‑06‑22,79,60,173,65,Solo
Answerphone (feat. Yxng Bane),Banx & Ranx,basshall,2018,2020‑06‑22,67,45,191,60,Duo
Mine,Bazzi,dance pop,2018,2020‑06‑22,71,72,131,80,Solo
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,2020‑06‑22,56,32,174,80,Solo
lovely (with Khalid),Billie Eilish,art pop,2018,2020‑06‑22,35,12,200,91,Solo
Look Alive (feat. Drake),BlocBoy JB,memphis hip hop,2018,2020‑06‑22,92,60,181,78,Solo
Finesse - Remix; feat. Cardi B,Bruno Mars,dance pop,2017,2020‑06‑22,70,93,217,78,Solo
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,2020‑06‑22,79,59,215,86,Solo
Never Be the Same,Camila Cabello,dance pop,2018,2020‑06‑22,64,24,227,79,Solo
I Like It,Cardi B,dance pop,2018,2020‑06‑22,82,65,253,83,Solo
Bodak Yellow,Cardi B,dance pop,2018,2020‑06‑22,93,49,224,77,Solo
Be Careful,Cardi B,dance pop,2018,2020‑06‑22,82,54,211,72,Solo
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,dance pop,2018,2021‑06‑15,75,45,186,61,Solo
How Long,Charlie Puth,dance pop,2018,2020‑06‑22,85,81,201,77,Solo
Done for Me (feat. Kehlani),Charlie Puth,dance pop,2018,2021‑08‑17,86,70,180,72,Solo
The Way I Am,Charlie Puth,dance pop,2018,2021‑08‑17,76,64,186,68,Solo
This Is America,Childish Gambino,atl hip hop,2018,2020‑06‑22,85,55,226,75,Solo
Tequila,Dan + Shay,contemporary country,2018,2020‑06‑22,49,49,197,75,Duo
Nevermind,Dennis Lloyd,israeli pop,2017,2020‑06‑22,60,8,157,79,Solo
No Brainer,DJ Khaled,dance pop,2018,2020‑06‑22,55,64,260,71,Solo
God's Plan,Drake,canadian hip hop,2018,2020‑06‑22,75,36,199,86,Solo
Nonstop,Drake,canadian hip hop,2018,2020‑06‑22,91,42,239,82,Solo
Nice For What,Drake,canadian hip hop,2018,2020‑06‑22,59,76,211,81,Solo
In My Feelings,Drake,canadian hip hop,2018,2020‑06‑22,84,35,218,80,Solo
I'm Upset,Drake,canadian hip hop,2018,2020‑06‑22,90,49,214,73,Solo
IDGAF,Dua Lipa,dance pop,2017,2020‑06‑22,84,51,218,83,Solo
In My Mind,Dynoro,edm,2018,2020‑06‑22,69,16,185,83,Solo
Trip,Ella Mai,dance pop,2018,2020‑06‑22,48,36,214,77,Solo
Boo'd Up,Ella Mai,dance pop,2017,2020‑06‑22,56,24,256,73,Solo
River (feat. Ed Sheeran),Eminem,detroit hip hop,2017,2020‑06‑22,75,66,221,77,Solo
German,EO,afroswing,2018,2020‑06‑22,86,85,171,71,Solo
Let's Fall in Love for the Night,FINNEAS,alt z,2018,2021‑06‑15,74,37,190,77,Solo
Simple,Florida Georgia Line,contemporary country,2019,2020‑06‑22,36,86,185,75,Duo
Him & I (with Halsey),G-Eazy,indie pop rap,2017,2020‑06‑22,59,19,269,80,Solo
Shotgun,George Ezra,folk-pop,2018,2020‑06‑22,67,75,201,81,Solo
Paradise,George Ezra,folk-pop,2018,2020‑06‑22,64,91,222,73,Solo
we fell in love in october,girl in red,bedroom pop,2018,2021‑03‑02,57,24,184,88,Solo
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2017,2020‑06‑22,66,74,175,81,Solo
Bad At Love,Halsey,dance pop,2017,2020‑06‑22,68,61,181,77,Solo
The Greatest Show,Hugh Jackman,hollywood,2017,2020‑06‑22,42,40,302,77,Band/Group
Natural,Imagine Dragons,modern rock,2018,2020‑06‑22,70,22,189,85,Band/Group
Make Me Feel,Janelle Monáe,afrofuturism,2018,2021‑06‑15,86,70,194,68,Solo
You Make It Easy,Jason Aldean,contemporary country,2018,2020‑06‑22,38,41,197,74,Solo
"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,conscious hip hop,2018,2020‑06‑22,65,38,230,76,Solo
Rise,Jonas Blue,dance pop,2018,2020‑06‑22,69,66,194,74,Solo
Lucid Dreams,Juice WRLD,chicago rap,2018,2020‑06‑22,51,22,240,89,Solo
LOVE. FEAT. ZACARI.,Kendrick Lamar,conscious hip hop,2017,2020‑08‑11,80,78,213,85,Solo
All The Stars (with SZA),Kendrick Lamar,conscious hip hop,2018,2020‑06‑22,70,55,232,85,Solo
Love Lies (with Normani),Khalid,pop,2018,2020‑06‑22,71,34,202,78,Solo
1950,King Princess,alt z,2018,2021‑06‑10,60,27,225,77,Solo
I Like Me Better,Lauv,dance pop,2018,2020‑06‑22,75,42,197,86,Solo
Yes Indeed,Lil Baby,atl hip hop,2018,2020‑06‑22,96,56,142,84,Solo
Freaky Friday (feat. Chris Brown),Lil Dicky,comedy rap,2018,2020‑06‑22,76,76,217,74,Solo
Everyday,Logic,conscious hip hop,2018,2021‑08‑17,67,42,205,74,Solo
Body,Loud Luxury,dance pop,2017,2020‑06‑22,75,58,163,77,Duo
Bad Vibe,M.O,afroswing,2018,2020‑06‑22,81,76,214,58,Band/Group
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,ohio hip hop,2017,2021‑05‑06,65,22,203,77,Solo
Corazón (feat. Nego do Borel),Maluma,latin,2018,2020‑06‑22,72,75,185,74,Solo
Wait,Maroon 5,pop,2018,2020‑06‑22,66,45,191,64,Band/Group
Happier,Marshmello,brostep,2018,2020‑06‑22,69,67,214,86,Solo
Silence,Marshmello,brostep,2017,2020‑06‑22,52,29,181,84,Solo
FRIENDS,Marshmello,brostep,2018,2020‑06‑22,63,53,203,83,Solo
Spotlight,Marshmello,brostep,2018,2021‑08‑17,55,62,178,76,Solo
Walk It Talk It,Migos,atl hip hop,2018,2020‑06‑22,91,40,276,79,Trio
MotorSport,Migos,atl hip hop,2018,2020‑08‑11,90,19,303,77,Trio
Stir Fry,Migos,atl hip hop,2018,2020‑06‑22,82,51,190,75,Trio
17,MK,dance pop,2017,2020‑06‑22,70,67,196,69,Solo
Let You Down,NF,hip hop,2017,2020‑06‑22,66,46,212,84,Solo
Te Boté - Remix,Nio Garcia,latin,2018,2020‑06‑22,90,44,418,81,Solo
Ric Flair Drip (with Metro Boomin),Offset,atl hip hop,2017,2020‑06‑22,88,33,173,85,Solo
Vaina Loca,Ozuna,latin,2018,2020‑06‑22,75,56,176,77,Solo
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,colombian pop,2018,2020‑06‑22,68,84,220,76,Band/Group
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,2020‑06‑22,59,13,218,87,Solo
Better Now,Post Malone,dfw rap,2018,2020‑06‑22,68,34,231,84,Solo
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,2020‑06‑22,75,46,221,82,Solo
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,hip hop,2018,2020‑06‑22,71,58,332,71,Duo
Plug Walk,Rich The Kid,atl hip hop,2018,2020‑06‑22,88,16,175,77,Solo
Mo Bamba,Sheck Wes,rap,2018,2020‑08‑11,73,26,184,81,Solo
Strangers,Sigrid,dance pop,2019,2020‑06‑22,76,13,234,64,Solo
Delicate,Taylor Swift,pop,2017,2020‑06‑22,75,5,232,81,Solo
It's Not Living (If It's Not With You),The 1975,modern alternative rock,2018,2021‑06‑15,62,53,248,75,Band/Group
This Feeling,The Chainsmokers,dance pop,2018,2022‑01‑24,57,45,198,78,Duo
Sick Boy,The Chainsmokers,dance pop,2018,2022‑01‑24,66,45,193,74,Duo
Call Out My Name,The Weeknd,canadian contemporary r&b,2018,2020‑06‑22,46,18,228,85,Solo
Pray For Me (with Kendrick Lamar),The Weeknd,canadian contemporary r&b,2018,2020‑06‑22,74,19,211,74,Solo
Jackie Chan,Tiësto,big room,2018,2020‑06‑22,75,69,216,76,Solo
SICKO MODE,Travis Scott,hip hop,2018,2020‑06‑22,83,45,313,86,Solo
